"","mat_ori$id","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.cellulose.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.chitin.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.heteromannan.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.mixed.linkage.glucan.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xylan.and.heteroxylan.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown","Resource.Acquisition.Substrate.degradation.simple.compound.degradation.protein.degradation"
"42","grassAmbDry2_bin.31.orig",4.17568789238417e-07,4.17568789238417e-07,2.08784394619209e-07,2.08784394619209e-07,8.35137578476834e-07,0,6.05474744395705e-06
"43","grassAmbDry2_bin.32.orig",9.65310831294315e-07,7.23983123470736e-07,2.41327707823579e-07,2.41327707823579e-07,2.17194937041221e-06,7.23983123470736e-07,6.03319269558947e-06
"44","grassAmbDry2_bin.34.orig",1.27799882424108e-06,4.25999608080361e-07,4.25999608080361e-07,4.25999608080361e-07,2.1299980404018e-06,0,6.81599372928577e-06
"45","grassAmbDry2_bin.35.orig",1.33127739727281e-06,6.65638698636406e-07,3.32819349318203e-07,6.65638698636406e-07,2.66255479454562e-06,9.98458047954609e-07,5.99074828772765e-06
"46","grassAmbDry2_bin.36.orig",1.39383312472298e-06,1.39383312472298e-06,4.64611041574325e-07,4.64611041574325e-07,3.25227729102028e-06,1.8584441662973e-06,8.82760978991218e-06
"47","grassAmbDry2_bin.37.orig",1.84304165765624e-06,6.14347219218747e-07,6.14347219218747e-07,6.14347219218747e-07,2.45738887687499e-06,6.14347219218747e-07,1.04439027267187e-05
"48","grassAmbDry2_bin.38.orig",8.54634070109295e-07,6.10452907220925e-07,3.66271744332555e-07,3.66271744332555e-07,9.76724651553481e-07,6.10452907220925e-07,4.27317035054648e-06
"49","grassAmbDry2_bin.39.orig",5.79871164224733e-07,5.79871164224733e-07,3.86580776149822e-07,3.86580776149822e-07,1.7396134926742e-06,7.73161552299643e-07,5.02555008994768e-06
"50","grassAmbDry2_bin.4.orig",4.09063706354437e-07,4.09063706354437e-07,2.04531853177218e-07,4.09063706354437e-07,1.02265926588609e-06,4.09063706354437e-07,5.72689188896211e-06
"51","grassAmbDry2_bin.40.orig",1.26141621090122e-06,1.26141621090122e-06,3.15354052725305e-07,9.46062158175916e-07,2.52283242180244e-06,9.46062158175916e-07,7.56849726540733e-06
"52","grassAmbDry2_bin.5.orig",1.32507809679033e-06,1.32507809679033e-06,6.62539048395165e-07,9.93808572592747e-07,2.98142571777824e-06,1.32507809679033e-06,6.62539048395165e-06
"53","grassAmbDry2_bin.6.orig",2.39282077198141e-06,1.43569246318885e-06,9.57128308792564e-07,1.91425661758513e-06,4.78564154396282e-06,1.43569246318885e-06,6.69989816154794e-06
"54","grassAmbDry2_bin.7.orig",9.31540469844172e-07,6.21026979896115e-07,3.10513489948057e-07,6.21026979896115e-07,1.86308093968834e-06,3.10513489948057e-07,8.38386422859755e-06
"55","grassAmbDry2_bin.8.orig",0,9.52933653900214e-07,0,0,9.52933653900214e-07,0,7.62346923120172e-06
"56","grassAmbDry2_bin.9.strict",7.01368018319733e-07,1.0520520274796e-06,7.01368018319733e-07,1.0520520274796e-06,2.80547207327893e-06,1.0520520274796e-06,5.96162815571773e-06
"57","grassAmbWet1_bin.1.strict",1.03340036082896e-06,6.88933573885973e-07,3.44466786942986e-07,8.61166967357466e-07,2.06680072165792e-06,1.03340036082896e-06,4.9947684106733e-06
"58","grassAmbWet1_bin.10.orig",5.17834478351671e-07,5.17834478351671e-07,5.17834478351671e-07,5.17834478351671e-07,2.07133791340668e-06,5.17834478351671e-07,1.13923585237368e-05
"59","grassAmbWet1_bin.11.orig",1.30252033342784e-06,1.30252033342784e-06,4.34173444475946e-07,8.68346888951892e-07,3.03921411133162e-06,1.30252033342784e-06,6.51260166713919e-06
"60","grassAmbWet1_bin.12.strict",4.71124837245999e-07,6.28166449661332e-07,3.14083224830666e-07,4.71124837245999e-07,1.57041612415333e-06,7.85208062076665e-07,4.24012353521399e-06
"61","grassAmbWet1_bin.13.orig",1.41551832742354e-06,1.13241466193884e-06,5.66207330969418e-07,1.13241466193884e-06,2.26482932387767e-06,1.41551832742354e-06,6.79448797163301e-06
"62","grassAmbWet1_bin.14.orig",1.01601786023929e-06,6.77345240159528e-07,3.38672620079764e-07,1.01601786023929e-06,2.37070834055835e-06,6.77345240159528e-07,6.43477978151552e-06
"63","grassAmbWet1_bin.15.orig",1.04484255267574e-06,1.04484255267574e-06,5.22421276337869e-07,1.04484255267574e-06,2.08968510535147e-06,7.83631914506803e-07,6.00784467788549e-06
"64","grassAmbWet1_bin.16.orig",8.35337447091814e-07,4.17668723545907e-07,4.17668723545907e-07,4.17668723545907e-07,2.50601234127544e-06,0,7.93570574737224e-06
"65","grassAmbWet1_bin.17.orig",8.33938286065016e-07,8.33938286065016e-07,2.08484571516254e-07,6.25453714548762e-07,1.66787657213003e-06,1.25090742909752e-06,6.25453714548762e-06
"66","grassAmbWet1_bin.18.strict",1.20000192000307e-06,6.00000960001536e-07,3.00000480000768e-07,6.00000960001536e-07,3.00000480000768e-06,2.10000336000538e-06,6.90001104001766e-06
"67","grassAmbWet1_bin.19.orig",3.75328459317961e-07,3.75328459317961e-07,1.8766422965898e-07,3.75328459317961e-07,9.38321148294902e-07,3.75328459317961e-07,6.00525534908737e-06
"68","grassAmbWet1_bin.2.orig",2.02909039259517e-06,6.76363464198391e-07,1.35272692839678e-06,2.70545385679356e-06,2.70545385679356e-06,1.35272692839678e-06,6.76363464198391e-06
"69","grassAmbWet1_bin.20.orig",6.97676284483086e-07,6.97676284483086e-07,3.48838142241543e-07,6.97676284483086e-07,1.39535256896617e-06,6.97676284483086e-07,8.72095355603858e-06
"70","grassAmbWet1_bin.21.strict",3.7957211215369e-07,3.7957211215369e-07,3.7957211215369e-07,1.89786056076845e-07,1.51828844861476e-06,0,3.41614900938321e-06
"71","grassAmbWet1_bin.22.orig",9.91735209343732e-07,9.91735209343732e-07,3.30578403114577e-07,3.30578403114577e-07,1.98347041868746e-06,0,6.61156806229155e-06
"72","grassAmbWet1_bin.23.orig",9.75101276456326e-07,1.21887659557041e-06,2.43775319114082e-07,4.87550638228163e-07,1.95020255291265e-06,9.75101276456326e-07,6.09438297785204e-06
"73","grassAmbWet1_bin.24.orig",7.9798269973507e-07,3.98991349867535e-07,1.99495674933767e-07,5.98487024801302e-07,1.79546107440391e-06,3.98991349867535e-07,4.18940917360912e-06
"74","grassAmbWet1_bin.25.orig",7.84580790637754e-07,5.88435592978316e-07,3.92290395318877e-07,3.92290395318877e-07,1.96145197659439e-06,7.84580790637754e-07,6.66893672042091e-06
"75","grassAmbWet1_bin.26.orig",1.19691015250311e-06,7.18146091501866e-07,4.78764061001244e-07,4.78764061001244e-07,2.1544382745056e-06,7.18146091501866e-07,6.22393279301617e-06
"76","grassAmbWet1_bin.27.orig",6.08587350085917e-07,6.08587350085917e-07,3.04293675042959e-07,3.04293675042959e-07,1.21717470017183e-06,3.04293675042959e-07,7.91163555111692e-06
"77","grassAmbWet1_bin.28.orig",1.96753695198357e-06,1.31169130132238e-06,1.31169130132238e-06,2.62338260264476e-06,1.96753695198357e-06,6.55845650661191e-07,6.55845650661191e-06
"78","grassAmbWet1_bin.29.orig",1.39737893632913e-06,6.98689468164564e-07,1.04803420224685e-06,1.39737893632913e-06,3.14410260674054e-06,6.98689468164564e-07,4.89082627715195e-06
"79","grassAmbWet1_bin.3.orig",1.32674102254053e-06,1.06139281803243e-06,5.30696409016214e-07,1.06139281803243e-06,2.12278563606485e-06,1.59208922704864e-06,5.30696409016214e-06
"80","grassAmbWet1_bin.30.orig",1.72492782901963e-06,1.03495669741178e-06,6.89971131607854e-07,1.03495669741178e-06,3.10487009223534e-06,1.37994226321571e-06,7.58968244768639e-06
"81","grassAmbWet1_bin.31.strict",3.60726936923288e-06,1.20242312307763e-06,1.20242312307763e-06,3.60726936923288e-06,4.8096924923105e-06,1.20242312307763e-06,1.32266543538539e-05
"82","grassAmbWet1_bin.32.strict",6.70290929723683e-07,6.70290929723683e-07,3.35145464861841e-07,3.35145464861841e-07,1.00543639458552e-06,0,8.04349115668419e-06
"83","grassAmbWet1_bin.33.orig",6.92238095754527e-07,4.61492063836351e-07,2.30746031918176e-07,4.61492063836351e-07,1.15373015959088e-06,0,5.99939682987257e-06
"84","grassAmbWet1_bin.34.orig",2.1270006568178e-06,1.27620039409068e-06,8.50800262727121e-07,1.70160052545424e-06,3.40320105090848e-06,8.50800262727121e-07,7.23180223318053e-06
"85","grassAmbWet1_bin.35.orig",4.194188406718e-07,4.194188406718e-07,2.097094203359e-07,2.097094203359e-07,8.388376813436e-07,0,6.5009920304129e-06
"86","grassAmbWet1_bin.36.orig",1.48327195553981e-06,1.18661756443185e-06,5.93308782215925e-07,8.89963173323888e-07,2.3732351288637e-06,1.18661756443185e-06,8.00966855991499e-06
"87","grassAmbWet1_bin.37.orig",1.82586972565577e-06,1.09552183539346e-06,3.65173945131154e-07,7.30347890262308e-07,3.28656550618039e-06,7.30347890262308e-07,7.66865284775424e-06
"88","grassAmbWet1_bin.38.orig",1.21913976279198e-06,1.21913976279198e-06,6.09569881395988e-07,6.09569881395988e-07,1.82870964418796e-06,1.21913976279198e-06,1.21913976279198e-05
"89","grassAmbWet1_bin.39.orig",7.48073803465302e-07,7.48073803465302e-07,3.74036901732651e-07,3.74036901732651e-07,1.87018450866326e-06,1.12211070519795e-06,7.10670113292037e-06
"90","grassAmbWet1_bin.4.orig",1.40406497872315e-06,1.40406497872315e-06,7.02032489361575e-07,1.40406497872315e-06,3.51016244680788e-06,1.75508122340394e-06,7.02032489361575e-06
"91","grassAmbWet1_bin.41.strict",1.41315724765958e-06,1.41315724765958e-06,4.71052415886525e-07,4.71052415886525e-07,2.35526207943263e-06,4.71052415886525e-07,8.94999590184398e-06
"92","grassAmbWet1_bin.42.strict",1.57445106763527e-06,1.04963404509018e-06,5.2481702254509e-07,5.2481702254509e-07,3.14890213527054e-06,5.2481702254509e-07,5.77298724799599e-06
"93","grassAmbWet1_bin.43.orig",1.07653722113985e-06,1.07653722113985e-06,2.69134305284963e-07,5.38268610569927e-07,2.15307444227971e-06,1.61480583170978e-06,6.72835763212409e-06
"94","grassAmbWet1_bin.44.orig",8.37634586937256e-07,8.37634586937256e-07,4.18817293468628e-07,1.25645188040588e-06,1.67526917387451e-06,4.18817293468628e-07,6.70107669549805e-06
"95","grassAmbWet1_bin.45.orig",8.41887790248708e-07,6.31415842686531e-07,2.10471947562177e-07,6.31415842686531e-07,2.31519142318395e-06,1.05235973781089e-06,6.10368647930314e-06
"96","grassAmbWet1_bin.46.orig",1.9336955145032e-06,9.668477572516e-07,9.668477572516e-07,1.4502716358774e-06,3.3839671503806e-06,1.4502716358774e-06,8.7016298152644e-06
"97","grassAmbWet1_bin.47.orig",9.45691312170338e-07,1.41853696825551e-06,0,0,2.36422828042584e-06,1.41853696825551e-06,1.04026044338737e-05
"98","grassAmbWet1_bin.48.orig",9.52582355507545e-07,4.76291177753773e-07,1.58763725917924e-07,6.35054903671697e-07,1.74640098509717e-06,7.93818629589621e-07,5.71549413304527e-06
"99","grassAmbWet1_bin.49.orig",1.63000026351671e-06,8.15000131758355e-07,2.71666710586118e-07,1.08666684234447e-06,2.9883338164473e-06,1.35833355293059e-06,6.79166776465295e-06
"100","grassAmbWet1_bin.5.orig",6.43723917111534e-07,3.21861958555767e-07,3.21861958555767e-07,6.43723917111534e-07,1.28744783422307e-06,0,5.7935152540038e-06
"101","grassAmbWet1_bin.50.orig",1.56849090000792e-06,1.17636817500594e-06,3.9212272500198e-07,7.8424545000396e-07,3.52910452501782e-06,1.17636817500594e-06,7.05820905003564e-06
"102","grassAmbWet1_bin.51.orig",1.84655156495245e-06,1.47724125196196e-06,3.6931031299049e-07,1.10793093897147e-06,3.32379281691441e-06,1.47724125196196e-06,7.7555165728003e-06
"103","grassAmbWet1_bin.52.orig",1.37008823368225e-06,1.37008823368225e-06,4.56696077894083e-07,9.13392155788166e-07,2.7401764673645e-06,1.37008823368225e-06,8.2205294020935e-06
"104","grassAmbWet1_bin.53.orig",1.51088954755279e-06,1.51088954755279e-06,7.55444773776397e-07,1.51088954755279e-06,2.64405670821739e-06,1.51088954755279e-06,7.93217012465217e-06
"105","grassAmbWet1_bin.54.orig",4.7760806240618e-07,1.91043224962472e-06,0,0,1.43282418721854e-06,1.43282418721854e-06,5.73129674887416e-06
"106","grassAmbWet1_bin.55.strict",9.19835846094906e-07,4.59917923047453e-07,4.59917923047453e-07,6.89876884571179e-07,2.06963065371354e-06,4.59917923047453e-07,5.05909715352198e-06
"107","grassAmbWet1_bin.6.permissive",7.9749745299251e-07,1.19624617948876e-06,7.9749745299251e-07,7.9749745299251e-07,2.79124108547378e-06,1.19624617948876e-06,7.17747707693259e-06
"108","grassAmbWet1_bin.7.strict",1.01568625857747e-06,7.61764693933103e-07,5.07843129288735e-07,1.01568625857747e-06,2.28529408179931e-06,1.26960782322184e-06,5.58627442217609e-06
"109","grassAmbWet1_bin.8.orig",6.16573558921157e-07,6.16573558921157e-07,3.08286779460578e-07,3.08286779460578e-07,1.23314711784231e-06,0,7.0905959275933e-06
"110","grassAmbWet1_bin.9.orig",1.19732374197194e-06,8.97992806478958e-07,2.99330935492986e-07,2.99330935492986e-07,2.99330935492986e-06,8.97992806478958e-07,6.58528058084569e-06
"111","grassAmbWet2_bin.1.orig",1.78706948007001e-06,1.19137965338e-06,5.95689826690002e-07,5.95689826690002e-07,2.97844913345001e-06,5.95689826690002e-07,7.74396774697002e-06
"112","grassAmbWet2_bin.10.orig",1.33034590856107e-06,5.32138363424427e-07,2.66069181712214e-07,1.06427672684885e-06,2.12855345369771e-06,1.06427672684885e-06,4.52317608910763e-06
"113","grassAmbWet2_bin.11.orig",1.04292215663787e-06,1.39056287551716e-06,6.9528143775858e-07,1.39056287551716e-06,3.4764071887929e-06,1.39056287551716e-06,6.25753293982722e-06
"114","grassAmbWet2_bin.12.orig",6.22877350778052e-07,3.11438675389026e-07,3.11438675389026e-07,6.22877350778052e-07,1.55719337694513e-06,0,4.67158013083539e-06
"115","grassAmbWet2_bin.13.orig",9.84381152382202e-07,9.84381152382202e-07,3.28127050794067e-07,3.28127050794067e-07,1.31250820317627e-06,0,5.25003281270508e-06
"117","grassAmbWet2_bin.15.strict",5.67264418396083e-07,5.67264418396083e-07,0,1.89088139465361e-07,9.45440697326804e-07,3.78176278930722e-07,4.91629162609938e-06
"118","grassAmbWet2_bin.16.strict",9.88797712950442e-07,9.88797712950442e-07,1.97759542590088e-07,5.93278627770265e-07,2.37311451108106e-06,7.91038170360353e-07,4.54846947957203e-06
"119","grassAmbWet2_bin.17.orig",1.09292746961716e-06,8.7434197569373e-07,4.37170987846865e-07,8.7434197569373e-07,1.96726944531089e-06,1.53009845746403e-06,5.68322284200925e-06
"120","grassAmbWet2_bin.18.orig",1.69334474873473e-06,1.35467579898779e-06,6.77337899493893e-07,1.01600684924084e-06,2.70935159797557e-06,1.69334474873473e-06,8.46672374367366e-06
"121","grassAmbWet2_bin.20.orig",6.26934877766507e-07,5.01547902213205e-07,2.50773951106603e-07,1.25386975553301e-07,1.12848277997971e-06,5.01547902213205e-07,3.38544833993914e-06
"122","grassAmbWet2_bin.21.orig",1.19364289666096e-06,1.19364289666096e-06,5.96821448330481e-07,1.19364289666096e-06,2.38728579332193e-06,8.95232172495722e-07,5.07298231080909e-06
"123","grassAmbWet2_bin.22.orig",2.10835244906221e-06,8.43340979624882e-07,8.43340979624882e-07,1.68668195924976e-06,3.37336391849953e-06,2.10835244906221e-06,7.1683983268115e-06
"124","grassAmbWet2_bin.23.strict",9.55740151456142e-07,9.55740151456142e-07,4.77870075728071e-07,9.55740151456142e-07,2.86722045436843e-06,1.91148030291228e-06,8.60166136310528e-06
"125","grassAmbWet2_bin.24.orig",1.19209142705463e-06,7.94727618036423e-07,5.96045713527317e-07,9.93409522545529e-07,2.18550094960016e-06,9.93409522545529e-07,5.36441142174585e-06
"126","grassAmbWet2_bin.25.orig",1.18388308917718e-06,1.18388308917718e-06,2.36776617835436e-06,2.36776617835436e-06,2.36776617835436e-06,0,1.42065970701261e-05
"127","grassAmbWet2_bin.26.orig",1.40272980571725e-06,9.35153203811497e-07,4.67576601905749e-07,4.67576601905749e-07,2.80545961143449e-06,4.67576601905749e-07,8.41637883430348e-06
"128","grassAmbWet2_bin.27.strict",1.80211108302821e-06,1.35158331227116e-06,9.01055541514107e-07,1.80211108302821e-06,3.15369439529937e-06,4.50527770757053e-07,5.85686101984169e-06
"129","grassAmbWet2_bin.29.orig",9.34557385444876e-07,7.00918039083657e-07,4.67278692722438e-07,9.34557385444876e-07,2.10275411725097e-06,9.34557385444876e-07,5.14006561994682e-06
"130","grassAmbWet2_bin.3.strict",7.55721092062321e-07,7.55721092062321e-07,5.66790819046741e-07,7.55721092062321e-07,2.07823300317138e-06,7.55721092062321e-07,4.72325682538951e-06
"131","grassAmbWet2_bin.31.orig",1.68192226222581e-06,1.34553780978065e-06,6.72768904890324e-07,1.68192226222581e-06,3.02746007200646e-06,1.34553780978065e-06,8.74599576357421e-06
"132","grassAmbWet2_bin.32.orig",1.30104114516601e-06,1.04083291613281e-06,5.20416458066403e-07,1.30104114516601e-06,3.38270697743162e-06,1.04083291613281e-06,6.24499749679684e-06
"133","grassAmbWet2_bin.33.orig",1.50099628628502e-06,1.00066419085668e-06,5.00332095428341e-07,1.25083023857085e-06,2.25149442942753e-06,1.50099628628502e-06,7.00464933599677e-06
"134","grassAmbWet2_bin.34.orig",8.44293315940891e-07,8.44293315940891e-07,4.22146657970445e-07,4.22146657970445e-07,2.11073328985223e-06,0,9.70937313332025e-06
"135","grassAmbWet2_bin.35.strict",6.90030287154379e-07,6.90030287154379e-07,3.45015143577189e-07,5.17522715365784e-07,1.89758328967454e-06,5.17522715365784e-07,4.14018172292627e-06
"136","grassAmbWet2_bin.36.orig",7.62750325122326e-07,7.62750325122326e-07,3.81375162561163e-07,3.81375162561163e-07,1.14412548768349e-06,3.81375162561163e-07,8.39025357634559e-06
"137","grassAmbWet2_bin.37.orig",7.35118040660482e-07,5.51338530495361e-07,3.67559020330241e-07,5.51338530495361e-07,2.02157461181632e-06,1.47023608132096e-06,4.96204677445825e-06
"138","grassAmbWet2_bin.39.orig",1.38953605243924e-06,1.85271473658565e-06,4.63178684146413e-07,4.63178684146413e-07,3.7054294731713e-06,9.26357368292825e-07,8.80039499878184e-06
"139","grassAmbWet2_bin.4.orig",9.74171403899842e-07,5.84502842339905e-07,1.94834280779968e-07,7.79337123119874e-07,1.75350852701972e-06,7.79337123119874e-07,4.48118845793927e-06
"140","grassAmbWet2_bin.40.orig",9.02376679698991e-07,1.20316890626532e-06,3.0079222656633e-07,6.01584453132661e-07,1.80475335939798e-06,1.80475335939798e-06,8.42218234385725e-06
"141","grassAmbWet2_bin.41.orig",9.68538011242789e-07,1.29138401499039e-06,6.45692007495193e-07,9.68538011242789e-07,2.25992202623317e-06,1.61423001873798e-06,8.39399609743751e-06
