id	length
shrubAmbWet2_bin.2.permissive	2578120
shrubAmbWet2_bin.20.orig	3465516
shrubAmbWet2_bin.21.orig	4138203
shrubAmbWet2_bin.22.orig	3051034
shrubAmbWet2_bin.23.orig	3373982
shrubAmbWet2_bin.24.strict	2484996
shrubAmbWet2_bin.3.permissive	4413941
shrubAmbWet2_bin.4.orig	2769694
shrubAmbWet2_bin.5.orig	4716456
shrubAmbWet2_bin.6.orig	4836052
shrubAmbWet2_bin.7.orig	2675740
shrubAmbWet2_bin.8.orig	5510699
shrubAmbWet2_bin.9.orig	8627014
shrubRedDry1_bin.1.orig	4789990
shrubRedDry1_bin.10.orig	3535205
shrubRedDry1_bin.12.orig	4068985
shrubRedDry1_bin.2.strict	2383322
shrubRedDry1_bin.3.orig	1257842
shrubRedDry1_bin.4.orig	4619313
shrubRedDry1_bin.5.orig	4661602
shrubRedDry1_bin.6.orig	4362288
shrubRedDry1_bin.7.orig	2238817
shrubRedDry1_bin.8.strict	4275930
shrubRedDry1_bin.9.orig	4110632
shrubRedDry2_bin.1.orig	2050298
shrubRedDry2_bin.10.orig	2370655
shrubRedDry2_bin.11.orig	2309632
shrubRedDry2_bin.12.orig	3982139
shrubRedDry2_bin.13.orig	3495219
shrubRedDry2_bin.14.strict	3316355
shrubRedDry2_bin.15.orig	3211172
shrubRedDry2_bin.16.orig	4096464
shrubRedDry2_bin.17.orig	2251477
shrubRedDry2_bin.18.strict	3962271
shrubRedDry2_bin.19.orig	4319254
shrubRedDry2_bin.2.orig	2463833
shrubRedDry2_bin.20.orig	5200122
shrubRedDry2_bin.21.orig	4664305
shrubRedDry2_bin.22.orig	5296651
shrubRedDry2_bin.23.orig	3005037
shrubRedDry2_bin.24.orig	3493287
shrubRedDry2_bin.25.orig	2661234
shrubRedDry2_bin.26.orig	3419002
shrubRedDry2_bin.27.orig	4947683
shrubRedDry2_bin.3.orig	1655846
shrubRedDry2_bin.4.strict	3472961
shrubRedDry2_bin.5.orig	2183966
shrubRedDry2_bin.6.orig	2532460
shrubRedDry2_bin.8.orig	4672448
shrubRedDry2_bin.9.orig	2105008
shrubRedWet1_bin.1.orig	2225730
shrubRedWet1_bin.10.orig	3027393
shrubRedWet1_bin.11.strict	4263164
shrubRedWet1_bin.13.strict	4379803
shrubRedWet1_bin.16.orig	4432414
shrubRedWet1_bin.17.orig	2025520
shrubRedWet1_bin.18.orig	2864137
shrubRedWet1_bin.19.orig	2334262
shrubRedWet1_bin.2.orig	4624584
shrubRedWet1_bin.20.strict	3662444
shrubRedWet1_bin.21.orig	1792677
shrubRedWet1_bin.23.orig	2708358
shrubRedWet1_bin.24.orig	4181808
shrubRedWet1_bin.25.orig	8737686
shrubRedWet1_bin.26.orig	2012225
shrubRedWet1_bin.27.strict	2194982
shrubRedWet1_bin.29.orig	2888015
shrubRedWet1_bin.30.permissive	3344971
shrubRedWet1_bin.31.strict	2117471
shrubRedWet1_bin.32.orig	3965385
shrubRedWet1_bin.4.orig	2548061
shrubRedWet1_bin.5.permissive	3779530
shrubRedWet1_bin.6.orig	2999002
shrubRedWet1_bin.7.orig	2745811
shrubRedWet1_bin.8.orig	2874635
shrubRedWet1_bin.9.orig	2676942
shrubRedWet2_bin.1.strict	3963486
shrubRedWet2_bin.10.orig	2101096
shrubRedWet2_bin.13.orig	4492867
shrubRedWet2_bin.14.strict	2450226
shrubRedWet2_bin.15.strict	3086872
shrubRedWet2_bin.16.orig	2993374
shrubRedWet2_bin.17.orig	4471365
shrubRedWet2_bin.18.orig	2987220
shrubRedWet2_bin.19.orig	3604718
shrubRedWet2_bin.2.orig	2400289
shrubRedWet2_bin.20.orig	2027408
shrubRedWet2_bin.21.strict	3620560
shrubRedWet2_bin.22.orig	3079441
shrubRedWet2_bin.23.orig	3155025
shrubRedWet2_bin.24.orig	5153688
shrubRedWet2_bin.25.orig	2275870
shrubRedWet2_bin.26.strict	3701067
shrubRedWet2_bin.27.orig	3018080
shrubRedWet2_bin.28.orig	2223363
shrubRedWet2_bin.29.orig	1817785
shrubRedWet2_bin.3.orig	4193519
shrubRedWet2_bin.30.orig	557304
shrubRedWet2_bin.31.orig	1983015
shrubRedWet2_bin.32.orig	2761544
shrubRedWet2_bin.33.orig	3959475
shrubRedWet2_bin.34.strict	3581057
shrubRedWet2_bin.35.orig	5645144
shrubRedWet2_bin.36.strict	3275569
shrubRedWet2_bin.37.orig	4726296
shrubRedWet2_bin.38.strict	702797
shrubRedWet2_bin.4.orig	4294927
shrubRedWet2_bin.5.orig	4587134
shrubRedWet2_bin.6.orig	2890184
shrubRedWet2_bin.7.orig	2568116
shrubRedWet2_bin.8.orig	3104275
shrubRedWet2_bin.9.orig	3123587
